madoo,Maisaa,aya1,DIRECT-SUDESKTOP-47FLMSPmsXJ,Daisy,y9," POCO X3 NFC",Redmi,CMP-lab1,ahmedNasser,El-modarag,Aya,CMP_LAB3,CMP_LAB4,STUDBME2,sheren,RehabLab,"Mahmoud Mohamed ",01118809880,ARC3,CUFE,badra22,CMP_LAB1,WE_0CF411,STUDBME1,POCO F3,El-lab,CMP_LAB2,aya2,ARC1,Alaa1,realme 7i,01146880660,location
-61,-86,-72,-100,-92,-91,-86,-100,-100,-81,-100,-92,-100,-80,-76,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,HW 21
-60,-82,-77,-100,-87,-91,-85,-100,-100,-89,-82,-100,-82,-82,-78,-100,-100,-100,-77,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-94,-100,-100,HW 21
-65,-85,-77,-100,-91,-100,-90,-100,-100,-100,-100,-100,-85,-100,-78,-76,-100,-100,-100,-82,-100,-100,-80,-79,-75,-100,-100,-86,-100,-100,-89,-100,-100,HW 21
-75,-87,-85,-100,-91,-100,-82,-100,-100,-86,-79,-100,-100,-84,-78,-78,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,HW 21
-69,-90,-78,-100,-100,-94,-100,-100,-100,-86,-83,-100,-81,-100,-82,-100,-100,-100,-86,-100,-100,-100,-100,-78,-72,-100,-100,-100,-100,-100,-100,-100,-100,HW 21
-71,-94,-80,-100,-88,-89,-89,-100,-100,-100,-100,-100,-85,-100,-85,-79,-100,-100,-100,-88,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,HW 21
-67,-100,-80,-100,-100,-100,-92,-80,-100,-86,-84,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,HW 21
-57,-90,-82,-100,-91,-87,-88,-100,-100,-78,-100,-100,-100,-81,-76,-100,-100,-100,-79,-82,-100,-100,-100,-73,-75,-100,-100,-100,-100,-100,-94,-100,-100,HW 21
-64,-92,-78,-100,-87,-100,-90,-100,-100,-85,-100,-100,-77,-100,-81,-100,-100,-100,-100,-85,-89,-100,-100,-73,-100,-100,-100,-80,-100,-100,-100,-100,-81,HW 21
-61,-89,-78,-100,-100,-88,-86,-100,-100,-80,-82,-100,-100,-85,-80,-78,-100,-100,-81,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 21
-68,-92,-75,-100,-100,-88,-90,-100,-100,-88,-78,-100,-86,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-73,-71,-100,-100,-100,-100,-100,-89,-100,-100,HW 21
-68,-100,-85,-100,-88,-87,-100,-79,-100,-81,-100,-100,-83,-100,-87,-76,-100,-100,-100,-87,-100,-100,-84,-70,-100,-100,-100,-85,-100,-100,-100,-100,-100,HW 21
-65,-82,-74,-100,-100,-89,-86,-100,-100,-84,-81,-100,-100,-100,-81,-100,-100,-92,-100,-100,-100,-100,-77,-71,-100,-100,-100,-100,-100,-100,-88,-100,-100,HW 21
-62,-84,-79,-100,-92,-100,-84,-100,-100,-86,-81,-100,-81,-100,-75,-100,-100,-87,-100,-87,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-86,-100,-100,HW 21
-65,-84,-78,-100,-85,-92,-85,-100,-100,-82,-100,-100,-100,-100,-83,-76,-100,-94,-100,-86,-100,-100,-77,-75,-75,-100,-100,-76,-100,-100,-100,-100,-100,HW 21
-67,-91,-75,-100,-89,-92,-85,-100,-100,-94,-100,-100,-100,-82,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 21
-60,-91,-86,-100,-86,-87,-92,-100,-100,-89,-86,-100,-84,-100,-86,-100,-100,-100,-100,-87,-100,-100,-100,-75,-71,-100,-100,-100,-100,-100,-90,-100,-100,HW 21
-66,-81,-71,-100,-90,-89,-84,-100,-100,-82,-74,-100,-100,-100,-75,-77,-100,-92,-100,-100,-100,-100,-85,-69,-68,-100,-100,-100,-100,-100,-93,-100,-86,HW 21
-63,-84,-70,-100,-91,-84,-81,-78,-100,-88,-76,-100,-100,-87,-76,-100,-100,-100,-85,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,HW 21
-64,-83,-81,-90,-89,-100,-91,-80,-100,-86,-73,-100,-100,-84,-81,-80,-100,-87,-100,-81,-100,-100,-100,-71,-69,-100,-100,-100,-100,-100,-100,-100,-100,HW 21
-61,-86,-69,-100,-85,-85,-85,-100,-100,-82,-100,-92,-100,-100,-68,-77,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,HW 21
-63,-84,-72,-100,-83,-100,-78,-75,-84,-80,-100,-95,-78,-79,-73,-100,-100,-100,-82,-100,-84,-100,-100,-100,-100,-100,-91,-100,-100,-100,-87,-100,-100,HW 21
-65,-89,-70,-100,-89,-100,-100,-100,-100,-91,-100,-92,-100,-85,-73,-76,-100,-100,-100,-100,-100,-100,-100,-71,-66,-100,-100,-100,-100,-100,-87,-100,-100,HW 21
-59,-85,-73,-100,-92,-100,-83,-84,-100,-95,-77,-100,-100,-100,-72,-75,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,HW 21
-63,-91,-65,-100,-85,-100,-82,-100,-82,-79,-81,-88,-100,-81,-68,-100,-100,-100,-100,-89,-100,-100,-80,-74,-100,-100,-100,-100,-100,-100,-95,-100,-100,HW 21
-57,-88,-73,-92,-83,-100,-86,-100,-100,-80,-76,-100,-80,-100,-71,-74,-100,-94,-100,-100,-83,-100,-100,-100,-64,-100,-100,-100,-100,-100,-92,-100,-100,HW 21
-58,-79,-72,-100,-75,-100,-81,-71,-100,-76,-81,-95,-100,-100,-71,-77,-93,-83,-100,-100,-100,-100,-80,-72,-100,-100,-100,-79,-100,-100,-85,-100,-85,HW 21
-64,-84,-75,-91,-83,-100,-88,-75,-100,-88,-72,-90,-100,-100,-72,-100,-100,-83,-100,-74,-100,-100,-79,-73,-100,-100,-100,-100,-100,-100,-87,-100,-100,HW 21
-52,-84,-66,-86,-78,-100,-82,-100,-100,-83,-70,-91,-75,-100,-66,-70,-90,-100,-100,-75,-100,-100,-100,-72,-66,-100,-100,-73,-100,-100,-100,-100,-100,HW 21
-56,-80,-67,-82,-83,-100,-76,-71,-75,-84,-75,-88,-100,-68,-66,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-69,-100,-100,-86,-100,-100,HW 21
-53,-82,-65,-90,-84,-100,-81,-68,-100,-80,-100,-91,-73,-73,-71,-73,-100,-100,-100,-77,-80,-100,-100,-70,-100,-100,-100,-100,-100,-100,-87,-100,-100,HW 21
-64,-85,-58,-87,-78,-100,-85,-69,-100,-83,-73,-100,-100,-100,-72,-70,-100,-100,-100,-100,-100,-100,-73,-100,-58,-100,-100,-100,-100,-100,-86,-100,-100,HW 21
-55,-77,-68,-89,-84,-100,-80,-70,-100,-79,-76,-89,-100,-72,-64,-100,-100,-91,-100,-100,-84,-100,-72,-67,-56,-93,-100,-74,-100,-100,-87,-100,-100,HW 21
-55,-82,-67,-86,-86,-100,-77,-100,-100,-79,-100,-100,-77,-75,-67,-72,-89,-84,-100,-88,-82,-100,-100,-68,-65,-100,-88,-100,-100,-100,-86,-100,-100,HW 21
-59,-73,-58,-100,-84,-100,-79,-66,-100,-77,-73,-86,-100,-100,-63,-100,-91,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-81,-100,-82,HW 21
-52,-76,-72,-84,-80,-100,-76,-71,-100,-81,-71,-80,-72,-71,-67,-67,-100,-84,-100,-80,-80,-100,-72,-69,-60,-100,-100,-73,-100,-100,-74,-100,-100,HW 21
-50,-75,-70,-78,-71,-100,-75,-66,-72,-82,-71,-84,-72,-100,-62,-65,-100,-100,-100,-100,-75,-79,-71,-69,-100,-89,-79,-100,-100,-100,-76,-100,-100,HW 21
-43,-71,-64,-86,-81,-100,-75,-100,-100,-75,-69,-75,-100,-100,-57,-100,-100,-87,-100,-100,-100,-100,-69,-71,-100,-100,-100,-100,-100,-100,-71,-100,-100,HW 21
-64,-67,-56,-100,-78,-100,-72,-58,-69,-78,-65,-82,-67,-73,-59,-57,-91,-72,-100,-100,-100,-100,-100,-100,-45,-100,-100,-100,-100,-100,-71,-82,-100,HW 21
-46,-67,-69,-83,-76,-100,-72,-71,-100,-82,-73,-78,-100,-100,-63,-100,-84,-83,-100,-100,-76,-100,-69,-73,-100,-93,-100,-100,-100,-100,-76,-100,-78,HW 21
-62,-78,-64,-86,-82,-100,-78,-69,-76,-77,-100,-100,-100,-69,-57,-63,-87,-86,-73,-74,-100,-100,-100,-70,-57,-100,-100,-100,-100,-86,-80,-100,-100,HW 21
-69,-81,-70,-88,-82,-100,-73,-74,-100,-79,-100,-100,-81,-74,-68,-61,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-94,-100,-100,HW 21
-59,-80,-74,-85,-84,-100,-83,-74,-76,-77,-73,-87,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-72,-100,-100,-89,-100,-82,HW 21
-54,-85,-68,-90,-79,-100,-86,-75,-100,-78,-100,-88,-74,-75,-70,-69,-100,-94,-100,-100,-100,-100,-74,-72,-100,-100,-100,-100,-100,-100,-89,-100,-100,HW 21
-52,-82,-64,-85,-83,-100,-84,-75,-100,-85,-77,-92,-77,-75,-75,-75,-100,-90,-100,-100,-100,-100,-78,-100,-69,-100,-100,-75,-100,-100,-84,-100,-100,HW 21
-54,-80,-67,-88,-80,-100,-76,-75,-77,-85,-80,-85,-100,-71,-67,-100,-100,-100,-100,-78,-100,-100,-77,-73,-67,-100,-100,-76,-100,-100,-81,-100,-100,HW 21
-53,-80,-69,-100,-85,-100,-85,-69,-78,-81,-100,-100,-72,-74,-70,-76,-100,-91,-100,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,HW 21
-56,-83,-78,-100,-94,-100,-92,-76,-100,-86,-100,-100,-77,-100,-75,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-93,-100,-100,HW 21
-60,-91,-69,-100,-91,-100,-84,-100,-100,-89,-100,-90,-100,-83,-70,-73,-100,-100,-83,-85,-100,-100,-84,-72,-70,-100,-100,-82,-100,-100,-86,-100,-83,HW 21
-57,-82,-86,-100,-80,-100,-85,-100,-81,-81,-100,-100,-82,-78,-75,-75,-100,-89,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,HW 21
-59,-84,-73,-100,-85,-100,-80,-75,-100,-79,-88,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-78,-75,-100,-100,-100,-100,-100,-100,-89,-100,-100,HW 21
-58,-86,-75,-100,-87,-100,-81,-100,-100,-80,-100,-100,-100,-80,-79,-78,-100,-100,-81,-100,-100,-100,-82,-77,-100,-100,-100,-100,-100,-100,-100,-100,-80,HW 21
-65,-82,-74,-100,-84,-100,-85,-100,-100,-82,-80,-100,-88,-81,-100,-78,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 21
-64,-83,-78,-100,-100,-100,-85,-100,-100,-88,-100,-100,-100,-100,-73,-100,-100,-100,-100,-75,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-90,-100,-100,HW 21
-68,-93,-76,-100,-100,-100,-90,-80,-81,-86,-100,-100,-100,-100,-78,-78,-100,-100,-87,-82,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-85,-100,-100,HW 21
-65,-91,-82,-100,-97,-100,-91,-77,-85,-93,-100,-93,-81,-77,-89,-73,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,HW 21
-54,-83,-74,-100,-86,-100,-89,-100,-100,-84,-79,-92,-82,-100,-75,-100,-100,-91,-100,-100,-100,-100,-100,-74,-76,-100,-100,-83,-100,-100,-89,-100,-87,HW 21
-65,-90,-79,-100,-84,-100,-83,-82,-100,-79,-100,-89,-100,-78,-83,-79,-91,-89,-88,-100,-100,-100,-79,-77,-67,-100,-100,-100,-100,-100,-100,-100,-84,HW 21
-62,-81,-71,-100,-87,-100,-79,-100,-100,-75,-78,-94,-77,-76,-70,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,HW 21
-56,-82,-71,-90,-91,-100,-87,-78,-100,-76,-78,-100,-76,-77,-69,-100,-100,-85,-100,-84,-88,-100,-79,-77,-71,-100,-100,-76,-100,-100,-89,-100,-100,HW 21
-52,-86,-73,-87,-84,-100,-79,-77,-100,-76,-70,-94,-100,-80,-65,-73,-100,-86,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,HW 21
-56,-76,-66,-89,-80,-100,-84,-77,-100,-75,-75,-92,-73,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-88,-100,-100,HW 21
-55,-76,-69,-100,-83,-100,-79,-100,-100,-78,-70,-88,-75,-100,-69,-72,-100,-90,-100,-80,-78,-100,-100,-100,-60,-100,-100,-76,-100,-100,-85,-92,-100,HW 21
-51,-79,-67,-83,-82,-100,-76,-73,-79,-77,-72,-85,-72,-73,-70,-75,-100,-100,-100,-100,-81,-100,-71,-100,-100,-100,-100,-73,-100,-100,-85,-100,-100,HW 21
-54,-88,-65,-88,-78,-100,-82,-73,-100,-82,-100,-86,-73,-100,-63,-100,-100,-86,-100,-78,-81,-100,-100,-100,-62,-100,-85,-72,-100,-100,-84,-100,-100,HW 21
-59,-79,-73,-88,-79,-100,-77,-76,-81,-77,-100,-89,-100,-73,-73,-72,-100,-88,-87,-100,-100,-100,-74,-67,-55,-100,-100,-100,-100,-100,-100,-100,-100,HW 21
-54,-77,-71,-86,-74,-100,-76,-72,-100,-82,-76,-88,-75,-72,-75,-100,-85,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-79,-100,-100,HW 21
-60,-92,-67,-100,-84,-100,-76,-100,-100,-82,-100,-84,-78,-100,-66,-65,-100,-86,-100,-100,-82,-100,-76,-71,-61,-100,-100,-76,-100,-100,-80,-100,-80,HW 21
-50,-76,-68,-84,-86,-100,-75,-100,-69,-73,-100,-100,-100,-67,-62,-65,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-82,-100,-100,-100,-87,-100,-84,HW 21
-50,-78,-57,-87,-78,-100,-75,-100,-100,-70,-100,-80,-71,-73,-60,-100,-100,-100,-100,-100,-73,-100,-100,-68,-57,-100,-100,-70,-100,-100,-79,-100,-100,HW 21
-56,-73,-65,-84,-71,-100,-72,-72,-100,-78,-100,-85,-100,-100,-63,-63,-100,-100,-100,-74,-100,-100,-67,-65,-100,-100,-100,-68,-100,-100,-76,-88,-85,HW 21
-51,-74,-74,-88,-77,-100,-79,-100,-100,-75,-72,-100,-73,-73,-73,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,HW 21
-57,-78,-78,-100,-83,-100,-80,-75,-100,-82,-73,-87,-70,-100,-75,-100,-100,-90,-100,-100,-82,-100,-100,-70,-69,-100,-100,-69,-100,-100,-82,-100,-100,HW 21
-54,-81,-72,-84,-78,-100,-72,-71,-73,-72,-100,-100,-100,-71,-65,-69,-88,-100,-100,-100,-82,-88,-72,-66,-52,-100,-100,-72,-100,-100,-100,-100,-100,HW 21
